input_text,answer
who destroyed the first temple and exiled the two tribes of judah to babylon,Nebuchadnezzar
who played forrest gumps mother in the 1994 film,Sally Field
where is iodine found in the periodic table,heaviest of the stable halogens
who made the song we are the world,produced by Quincy Jones
whats the difference between tomato paste and tomato puree,consistency
who is the actress who plays baker on blue bloods,Abigail Hawk
who was the killer in the movie i know what you did last summer,Ben Willis
how many countries touches the land boundary of india,seven
who played the wicked witch in wicked on broadway,Rachel Kelly Tucker
when was the last easter fell on april 1,2018
who wrote the guitar solo in beat it,Eddie Van Halen
where was the first sonic drive in located,"Woodward, Oklahoma"
what episode does caroline come into the originals,Brave New World
who does the voice of amy on futurama,Lauren Tom
who is the original singer of just when i needed you most,Randy VanWarmer
who was the guy who died in glee,Cory Allan Michael Monteith
time of the state of the nation address,after 9pm ET
who sings the rap in baby by justin bieber,Ludacris
who plays christian in 50 shades of grey,"James ""Jamie"" Dornan"
who won the world cup in cricket 2017,Pakistan
who invented the cornell method of note taking,Walter Pauk
what was the name of the first continent,Pangaea
who sang the song should have been a cowboy,Toby Keith
a political leader during the roman empire was called,emperors
where was uncle tom's cabin first published,The National Era
royal society for the protection of birds number of members,more than a million
where does blonde hair green eyes come from,a low concentration in pigmentation
what is the second book in the alchemyst series,The Magician
skin that covers the palms fingertips and soles of the feet,stratum lucidum
what is the largest bill in american money,$100
how long is the bridge between new brunswick and prince edward island,12.9-kilometre
how many nfl games were played in london,21
how many characters are present in icd-10 codes,7
how many seasons of ray donovan has there been,5
what was the name of atom bomb dropped by usa on hiroshima,Little Boy
what happened to western rome after it fell,divided into several successor polities
who helped them recapture mycenae once they were old enough to fight,Aegisthus
who is the cast of the new tomb raider movie,Alicia Vikander as Lara Croft
who came up with the term baby boomer,The Washington Post
who played anne in anne with an e,Amybeth McNulty
who played big enos in smokey and the bandit,Pat McCormick
who has hit a double century in the ranji trophy for jharkhand in 2016,Jaydev Shah
what is the wave length of x rays,from 0.01 to 10 nanometers
who won the oscar for best picture in 1976,Rocky
where does porter fly out of in toronto,Billy Bishop Toronto City Airport
who sang the end of the world as we know it,R.E.M.
who challenged the aristotelian model of a geocentric universe,Copernicus
delhi is on the banks of which river,Yamuna
what happened at the 1939 worlds fair in regards to television,Television demonstrations are held
krypton-85 decays by emission of a beta particle. the product of this decay is,rubidium-85
what percent of the us population controls the wealth,1%
what is the oasis in ready player one,a virtual reality simulator
when did the international space station go into space,1998
what are the toll roads called in mexico,autopistas
when does the good doctor episode 8 air,"November 20, 2017"
what was the name of the horse in steptoe and son,Hercules
what is an open university grade 3 pass,55–69%
who dies in season 2 of the originals,Kol
what is the approximate volume of blood in your body,approximately 5 liters
where does the phrase dressed to the nines,Scots in origin
when did harvard become an ivy league school,1945
who claimed land in south america for portugal,John II of Portugal
who proposed that electrons behave like waves and particles,Einstein
what state courts can order a new trial,appellate court
when was the peak to peak gondola built,in 2007 and 2008
how many co2 molecules are produced in aerobic respiration,6
what is the meaning of the name mandy,Lovable
what material was used to build the roofs of houses in burzahom,birch
one piece episode 534 english dubbed release date,"February 5, 2012"
who is the original singer of i write sins not tragedies,Panic! at the Disco
why did jean valjean take care of cosette,he had promised
where does the lincoln highway begin and end,Lincoln Park in San Francisco
what is the ultimate objective of financial management,Profit maximization
when did under the cork tree come out,"May 3, 2005"
panic at the disco la devotee video cast,Noah Schnapp
who played the villain in tiger zinda hai,Sajjad Delafrooz
who wrote it's gonna take a lot of love,Neil Young
who become ceo of wipro company in 2016,Abid Ali Neemuchwala
who won the 2018 women's royal rumble match,Asuka
who played hyde in league of extraordinary gentlemen,Jason Flemyng
when does the 2017 college football season end,"December 9, 2017"
who was the top scorer in 2014 world cup,James Rodríguez
when was the last time the carolina hurricanes made the playoffs,2008–09
when did the first immigrants come to hawaii,Around 1200
what is the main industry in the canadian shield,mining
when does monday night raw come on hulu,the following day
what was the first light beer in the us,Miller Lite
what was the ancient chinese umbrella used for,a defense against rain
what is the name of the protease which is released in the stomach,Pepsin
when did michigan last win a national championship,1989
which indian actor has won most national awards,Amitabh Bachchan
role of malonyl coa in fatty acid synthesis,chain elongation
what is the average time in hospice care,57 days
who plays the little girl in jurassic park,Ariana Clarice Richards
who has participated in the most super bowls,New England Patriots
when was the last time michigan basketball won the championship,1989
who plays spock in the new star trek movies,Zachary John Quinto
who wins america's next top model cycle 20,Jourdan Miller
when was the day that the pubs ran dry in the poem 9-3,31 October 1972
who wrote were going on a bear hunt,Michael Rosen
who has the most restaurants in the world,SUBWAY
when did the eagles win the super bowl,2017
when does the eclipse end in the us,2:44 p.m. EDT
hart of dixie season 4 how many episodes,10
when was the abacus invented in ancient china,2nd century BC
the boards name on ed edd and eddy,Plank
who was the actor who played grizzly adams,"""Dan"" Haggerty"
who owns the delano hotel in las vegas,MGM Resorts International
who is the owner of the crowne plaza,InterContinental Hotels Group
what is the location at the end of minority report,an undisclosed location
who won the 2017 women's wimbledon final,Garbiñe Muguruza
who sang raindrops keep fallin on my head,B. J. Thomas
a 58-story skyscraper in san francisco is tilting and sinking,Millennium Tower
when does the men's worlds curling start,March 31
who sang the song how far is heaven,Los Lonely Boys
where did zendaya place in dancing with the stars,Runner-up
when does sloan come into grey's anatomy,season two
how many countries are a part of opec,14
when does buffy tell her friends she was in heaven,Something to Sing About
who plays max voice in a goofy movie,Jason Marsden
who is the current defence against the dark arts teacher,Amycus Carrow
what type of snake is kaa in jungle book,Indian rock python
when does ellen's new game show start,"December 18, 2017"
who was the original host of jokers wild,Jack Barry
name the tissue type of the inner most layer of cells,Epithelium
when does the implantation of the embryo occur,around 9 days after ovulation
when is the opening ceremonies of the olympics 2018,9 February 2018
who has said that caste is a closed class,Frederik Barth
all time highest goal scorer in spain national team,David Villa
where does iron ore come from in australia,Western Australia
who plays jill bigelow in line of duty,Polly Walker
who rebuilt the temple after the babylonian captivity,Herod
who won the 10m air pistol gold medal at commonwealth shooting championship in brisbane australia,Shahzar Rizvi
who is the supreme court judge was a former chief justice of kerala high court,Konakuppakatil Gopinathan Balakrishnan
who sings stop listen what's that sound,Buffalo Springfield
where does the red badge of courage take place,the field of battle
who came up with the first working periodic table,Dmitri Mendeleev
where do the events in the story take place geographically,Persia
who was the movie citizen kane based on,William Randolph Hearst
who did the chiefs play in the playoffs,the Tennessee Titans
what is the time setting of game of thrones,medieval
who played buffy the vampire slayer in the movie,Kristy Swanson
who is ranked 1 in women's tennis,Simona Halep
who won the mens curling in the olympics 2018,United States
where does what in the sam hill come from,simple bowdlerization
who defeated the last remaining roman army in europe,Goths
the temperature of gas is proportional to the,volume
who's flag is red white and green,Hungary
country with most olympic gold medals all time,United States
who plays yoda in revenge of the sith,Frank Oz
who was the bad guy in silence of the lambs,Buffalo Bill
who become the ceo of it wipro company in 2016,Abid Ali Neemuchwala
actress who plays brad pitts wife in war machine,Meg Tilly
who comes after the president if he dies,vice president
who plays the protagonist peter rabbit in the 2018 motion picture release,James Corden
where was the movie i am number 4 filmed,the Pittsburgh metropolitan area
when did the granite mountain hotshots get certified,2008
when did brent barry won the dunk contest,1996
what is the purpose of a jake brake,slowing the vehicle
who sings in everybody dies in their nightmares,XXXTentacion
when was the first underwater cable laid beneath the english channel,1850
what was the purpose of a revival meeting during the second great awakening,evangelizing
when did krakow become the capital of poland,1038
where do the neutrons come from in nuclear fission,Startup neutron source
glycogen and amylopectin are long chains of which simple sugar(s),glucose
who is the actress that plays penny on the big bang theory,Kaley Christine Cuoco
what was one reason south carolina gave for its decision to secede from the union,to preserve slavery
what is a real world application of an atwood machine,An elevator with a counterbalance
who started the tradition of coloring easter eggs,early Christians of Mesopotamia
who is the most selling music artist of all time,The Beatles
who plays stacey's mum in gavin and stacey,Melanie Walters
who is considered as architect of india constitution,B. R. Ambedkar
who was the girl that played cindy lou who,Taylor Michel Momsen
where did they live in sex and the city,New York City
who played violet in a series of unfortunate events netflix,Malina Weissman
how many tornado planes does the uk have,138
when did computer become widespread in homes and schools,1980s
when did the age of new media began,the 1980s
when does agents of shield season five start,"December 1, 2017"
where did the term 'robot' come from,Czech
who sings i just want to use your love tonight,English rock band the Outfield
where are they playing the superbowl at this year,"Minneapolis, Minnesota"
who plays the voice of johnny in sing,Taron Egerton
who was the greatest pool player of all time,Efren Manalang Reyes
how many episodes are in season 7 of pretty little liars,20
a type of basic rock popular in the 1980s,alternative rock
what is the real name of our sun,The Sun
who sang the song oh what a lonely boy,Andrew Gold
who won the 2017 sports personality of the year,Mo Farah
who plays young voldemort in the half blood prince,Hero Beauregard Fiennes-Tiffin
when did dragon ball z air in australia,Fall 1998
how many episodes in my name is earl season 4,27
an influential religion to enter china along the silk route during the han dynasty was,Buddhism
who played mr. kincaid on the partridge family,David Joseph Madden
who sings i wanna rock'n'roll all night,Kiss
who presides over the joint sessions of parliament,President
latest series of keeping up with the kardashians,14
avatar the last airbender season 3 episode 12,The Western Air Temple
when was to god be the glory written,around 1872
when was the cat and mouse act introduced,1913
who sang i dig rock and roll music,"Peter, Paul and Mary"
who played skeletor in the movie masters of the universe,Frank Langella
who has been ranked no. 1 in the latest football rankings announced by fifa,Germany
explorer who led an early voyage to the coast of newfoundland,Jacques Cartier
who played bubba in the heat of the night,Carlos Alan Autry Jr.
who played sarah hedley in when the boat comes in,Rosalind Bailey
who developed the first printing press in 1430s,Johannes Gutenberg
who played the music producer in pitch perfect 2,Keegan-Michael Key
who has the most ncaa basketball tournament appearances,Kentucky
when will the flash season 4 episode 14 coming out,"February 27, 2018"
who painted the world famous painting the last supper,Leonardo da Vinci
what was the original purpose of the kremlin,the tsar's Moscow residence
the probability of making a type i error when retaining ho at the .05 level of significance is,5%
ray charles hit the road jack album name,Ray Charles Greatest Hits
who sings the wizards of waverly place theme song,Selena Gomez
how many times has the saints won the super bowl,1
the first political society started under british rule in india was,The British Indian Association
what age do you have to be to buy cigarettes in california,21
where would a subcutaneous injection be made in the skin,the subcutis
who sang the song with reba does he love you,Linda Davis
what was the immediate catalyst to the civil war,slavery
which player won the pga championship by the most shots,Rory McIlroy
when are you considered under the poverty line,"US$11,770"
who was the author of the art of war,Sun Tzu
when was the last time kentucky won ncaa,2012
what is the transfer speed for sata 1,1.5 Gbit/s
who cracked the enigma code in world war 2,Turing
what were the two causes of the dust bowl,severe drought
what type of reaction occurs to form a dipeptide,peptide bond
who voices hiccup in how to train your dragon 2,Jay Baruchel
who does luke skywalker fall in love with,Mara Jade
if there is a line that lies parallel to the horizon it is said to be,A vanishing point
when was the last year the raiders won the superbowl,1983
where does the sun hit the us first,the summit of Cadillac Mountain
what is the name of the chief justice of ghana,Sophia Akuffo
who is considered the father of modern cosmology,Edwin Hubble
who discovered one of the first taxonomic classification schemes,Swedish botanist Carl Linnaeus
when did are you smarter than a 5th grader first air,"February 27, 2007"
who played the detective in little boy blue,Stephen Graham
when is star vs the forces of evil coming back 2018,"March 3, 2018"
in which sea pearl is found in india,the Indian Ocean
who sang theme song for dukes of hazard,Waylon Jennings
when does the new season of are you the one come on,2018
where did the beer hall putsch take place,"Munich, Bavaria"
where did the northernmost land action of the american civil war occur,"St. Albans, Vermont"
what is the meaning of molech in the bible,king
what areas of africa were involved in colonization,90 percent of the continent
who took the first steps on the moon in 1969,Neil Armstrong
who was the original host of what's my line,John Daly
who was the drummer with the travelling wilburys,Jim Keltner
who did university of miami play last week,FIU
who appoints the members of the board of governors of the federal reserve,the President
where does the eurostar train arrives in london,St Pancras International
who played young clark kent in 1978 superman,Jeff East
who plays poppy in the beat goes on,Amanda Leighton
how long do nhl players stay on waivers,24 hours
lilo and stitch the series season 1 episode 1,Richter
who sang from russia with love james bond,Matt Monro
what football player is called the honey badger,Tyrann Devine Mathieu
which material is the heaviest in term of density,Osmium
who sang for lee bowman in my dream is yours,Hal Derwin
who has the most conference championships in college basketball,Kansas
who plays the doc in back to the future,Christopher Allen Lloyd
when did come fly with me come out,25 December 2010
who is pictured on the 5000 dollar bill,James Madison
which us ship was captured off the coast of massachusetts by the british,USS Chesapeake
when did congress passes legislation to fund the national cancer institute,"August 5, 1937"
where was the film coming home for christmas filmed,British Columbia
who won the 7 man elimination chamber match,Roman Reigns
who wins the final fight in real steel,Zeus
published a treatise on perspective della pitture (or on painting) in 1435,Leon Battista Alberti
who is the first indian who got oscar for lifetime achievement,Mehboob Khan
what network is showing the monday night football game,ESPN
how did leo dalton die in silent witness,in an explosion
when does panic at the disco album come out,"December 15, 2017"
when does the flash season 4 episode 3 air,"October 24, 2017"
who directed the iconic animated short educational film ek anek aur ekta,Vijaya Mulay
who is the actor that plays saul on grace and frankie,Sam Waterston
who holds the most home runs in mlb history,Barry Bonds
who hosted and won the inagural world cup,Uruguay
who won the wwe championship elimination chamber 2018,Roman Reigns
who won the most stanley cups in history,Montreal Canadiens
who played kelly taylor's mom on 90210,Ann Gillespie
the concept of micro financing was developed by who in 1976,Muhammad Yunus
who is the actor that plays ducky on ncis,David McCallum
where was the first cell phone call made,"April 3, 1973"
what breed of cat has spots and stripes,tabby
what are the monomer building blocks of dna and rna,Nucleotides
which foreign currency option is the​ right but not the​ obligation to buy foreign​ currency,foreign exchange option
how many episodes in great british bake off 2017,10
who was the first baseball player to be featured on a postage stamp,Jackie Robinson
what type of car is a g wagon,Mercedes-Benz
when's the last time scotland won the calcutta cup,2018
who sang i knew the bride when she used to rock and roll,Dave Edmunds
where did the term liberal arts come from,the Roman Empire
the site of secretion of h+ and cl-,Parietal cells
tv show theme song would you like to swing on a star,Out of This World
who invented the submarine during the civil war,Horace Lawson Hunley
who has won more grand slam titles in tennis,Roger Federer
the recipient of first jnanpith award was an author which language,Malayalam
what is the tigers name in life of pi,Richard Parker
who is the presiding officer of legislative council in india,Chairman
who will get ticket to finale in rising star 2,Hemant Brijwasi
referring to the organs of reproduction is called,Reproductive system
in which country were the two battles of el alamein fought,Egypt
who wrote the song always be humble and kind,Lori McKenna
when was the last time the womens hockey team won gold,2018
which film won the oscar for best animated feature in 2007,Ratatouille
when are the next commonwealth games going to be held,2022
which site of an enzyme is called allosteric site,regulatory site
towns on the border of texas and oklahoma,Texhoma
who has the most rushing yards in a super bowl,Timmy Smith
in photosynthesis the carbon in co2 is initially fixed to what molecule,3-phosphoglycerate
which was the first village of karnataka which declared independence,Hyderabad
who sang once upon a dream at the end of maleficent,Lana Del Rey
who was last person to be executed in us,Ruben Cardenas Ramirez
where does the story the great gatsby take place,Long Island of 1922
how many scholarships do division 2 football teams get,36.0
who sings in cry baby for johnny depp,James Intveld
who lived in jamestown before the arrival of the english,uninhabited
what is the corporate tax rate in great britain,20%
who sings i want to rock and roll,Kiss
how many seasons of the smurfs are there,9
who wrote the song city of new orleans,Steve Goodman
when did i'm like a bird come out,"October 24, 2000"
who sings god is great beer is good,Currington
when was the first documented case of tool mark identification,1835
when was 1 john 5 7 added to the bible,the 9th century
the plane of earth's orbit is called the,ecliptic
when does the champions league round of 16 start,13 February
with a land area of 54 314 square miles where does wisconsin rank among the 50 states,25
when did a wrinkle in time start filming,"November 2, 2016"
who played mr. willoughby in sense and sensibility,Matthew Gregory Wise
when does nathan get in a car accident,The Show Must Go On
what is the white stork a symbol for in western culture,bringing babies to new parents
who got the first arjun award in athletics,Gurbachan Singh Randhawa
who sings good night on the beatles white album,Ringo Starr
where are the winter olympic games being held this year,"Pyeongchang County, South Korea"
nitty gritty dirt band fishin in the dark album,Hold On
what was the first star trek enterprise ship,NCC-1701
what is the full scientific name for the e. coli bacteria,Escherichia coli
where did the christmas tree at rockefeller center come from,"State College, PA"
when does the new season of lost in space come out,"April 13, 2018"
where are the organ mountains in new mexico,southern New Mexico
creating appropriation bills falls under which power of congress,raising revenue
through what process has the colorado river created the grand canyon in the usa,erosion
what is the rate limiting enzyme of kreb's cycle,Isocitrate dehydrogenase
what information is displayed in clear text from the ftp header,all transmissions
who has the most big ten championships in football,Michigan
what does ss stand for on naval ships,Single-screw Steamship
where do the elves go on the boat in lord of the rings,Valinor
how many times has psg won champions league,46
when did ga state get a football team,2010
who has won the mens singles title in the australian open tennis tournament,Roger Federer
who won the oscar for best actor when titanic was nominated,Jack Nicholson
when did australia 2 win the america's cup,1983
how many points did lebron james scored in his career,"31,038"
where does sound travel fastest solid liquid or gas,solids
cat in the hat knows a lot about space movie,Space is the Place
where did the race in grease take place,Thunder Road
who was the winner of the first indianapolis 500,Ray Harroun
when will the next episode of my next guest needs no introduction,"May 31, 2018"
where does the last name hidalgo come from,Spanish
who has played in the most premier league derbies,Neville Southall
who has become the new chairman of sebi,Ajay Tyagi
who present the central budget in lok sabha,the Finance Minister of India
who played ethel on the doris day show,Carol Worthington
who played the jewish man in coming to america,Eddie Murphy
who has a ring of power in lotr,Sauron
who introduced the first chrismas tree to the uk,Charlotte of Mecklenburg-Strelitz
how many writes does a flash drive have,"up to 100,000"
the old man and the sea page count,127
mount and blade with fire and sword time period,1648-51
nearest metro station to gandhi nagar in delhi,Shastri Park metro station
when was looking for a sunset bird in winter written,1923
where are the winter olympic games being played,Beijing
why was the plague that struck athens so devastating,close quarters and poor hygiene
who wrote ain't living long like this,Rodney Crowell
what group of animals do octopus belong to,class Cephalopoda
where is the new football stadium in atlanta,Mercedes-Benz Stadium
what are the zords in the power rangers movie,animal-themed Ninja Zords
where does the last name waller come from,Anglo-Saxon origin
who wrote the music phantom of the opera,Andrew Lloyd Webber
when's the last time michigan won a national championship in basketball,1989
in the honour of which god is anant chaturdashi celebrated,Ganesh
what territory is spain and the united kingdom in a dispute over,Gibraltar
when was you'll never walk alone first released,1945
atlantic ocean's shape is similar to which english alphabet,S
where did the titanic sink at what ocean,North Atlantic Ocean
dogs name in the grinch who stole christmas,Max
when does the next episode of rebels come out,"February 19, 2018"
perth is the capital of which australian state,Western Australia
who gets the golden boot if its a tie,shared
when does a cell have condensed visible chromosomes also known as sister chromatids,metaphase
is greenland part of europe or north america,North America
the boiling point of water is 100 degrees celsius express this in si units,100 °C
what's the nba record for most points in a half,59
where does the last name tavarez come from,Spanish
who shot first in the shot heard around the world,Americans acting under orders
who has won the 2017 mens singles mutua madrid open tennis,Rafael Nadal
when did linkin park release one more light,"May 19, 2017"
created propaganda to support the war effort & encourage the sale of war bonds,the government
what us state forms the western boundary of montana,Idaho
where does the edinburgh fringe festival take place,"in Edinburgh, Scotland"
first dynasty to issue gold coins in india,The Gupta Empire
how many games does a football team have to win to be bowl eligible,5
where does the journey start in the canterbury tales,London
when was the first time lebron went to the finals,2007
who has made the most premier league appearances,Gareth Barry
when was the last time it snowed in england on christmas day,2009
when does the movie the star come out,"November 17, 2017"
first who wants to be a millionaire winner uk,Judith Cynthia Aline Keppel
actor who played caesar in dawn of the planet of the apes,Andy Serkis
where is the north pole on the world map,latitude 90° North
who played sam in clarissa explains it all,Sean O'Neal
who commissioned the first christmas card in 1943,Sir Henry Cole
where was the new pete's dragon filmed,New Zealand
total goals scored by ronaldo in la liga,309
who's opening for foo fighters at fenway,N/A
when did the eagles last play in a superbowl,2017 season
the world's tallest jain statue is located in which state of india,Maharashtra
when did hyderabad became a part of india,24 November 1949
when does wonder woman come out on blue ray,"September 19, 2017"
what time is it in alaska time zone,UTC−09:00
when is winter big brother going to start,"February 7, 2018"
who is the quarterback for the green bay packers,Aaron Rodgers
who played the face in the a team,Dirk Benedict
where did the battle of bonhomme richard take place,near Flamborough Head
who is the original singer of fool if you think it's over,Chris Rea
who has played in the most masters tournaments,Gary Player
what are some special products made in mississippi,farm-raised catfish
how many numbers are in the euromillions draw,7
who was the buccaneers qb when they won the superbowl,Brad Johnson
how many episodes in season 3 of good witch,10
who is the best director in bollywood 2017,Nitesh Tiwari
when did the term sustainability start to be used,1987
who played emma in h2o just add water,Claire Rhiannon Holt
when does i'm a celebrity get me out of here start in the uk,2018
who plays meredith quill in guardians of the galaxy 2,Laura Jane Haddock
how many terms can a mayor serve in texas,two four-year terms
who wrote hallelujah i just love her so,Ray Charles
where will the cricket world cup 2019 be held,England and Wales
where does sleeping freshmen never lie take place,J.P. Zenger High
word that means separation of church and state,separationism
actor who plays dr avery on grey's anatomy,Jesse Wesley Williams
when does season 13 of america's got talent premiere,"May 29, 2018"
which animal on earth has the longest life span,tortoise
what is the name of india 29 state,Rajasthan
when was the last time miss texas won miss america,1975
two atoms of the same element that are covalently bonded,shared pairs or bonding pairs
what is don quixote's horse's name,Rocinante
who played morticia in the addams family tv show,Carolyn Sue Jones
who sang i'm gonna run away from you,Tami Lynn
where did remember the titans camp take place,Gettysburg College
what is the most fundamental unit of life according to the cell theory,cells
how many national parks are present in india,103
the atomic number of indium which belongs to 5th period is,49
where does the synthesis of new dna from existing dna occurs,origins of replication
who plays the prosecutor on law and order svu,Raúl Eduardo Esparza
when did the ship hector arrived in pictou,1773
where is bigg boss tamil house is located,Chennai
who played doctor smith in lost in space,Jonathan Harris
points outside the production possibilities curve represent combinations of products that are,unattainable
where is dancing on ice filmed this year,RAF Bovingdon
who sang the theme song for laverne and shirley,Cyndi Grecco
when did the last volcano erupt in iceland,2010
what nfl team is robert griffin the third playing for,currently a free agent
who did the united states fight in the war of 1812,United Kingdom
india's first arctic research station set up in 2008 what is the name,Himadri Station
why does cooling water run through the condenser,condense the steam
what is the name of son of lord krishna,Pradyumna
what does rt mean on a dodge car,Road/Track
who played mike stivic on all in the family,Rob Reiner
who plays the grandmother in game of thrones,Rigg
what was the main characteristic of post-world war ii american society,strong economic growth
who is playing halftime at the pro bowl,Jordan Fisher
what are the importance of rigor mortis in meat processing,tenderness of meat
right to property according to the constitution of india is a,constitutional right
is aluminium a ferrous or non ferrous metal,non-ferrous
what does a yellow 35 mph sign mean,advisory speed limits
who came in last place on amazing race,Kevin & Jenn
when do you pray the chaplet of divine mercy,Good Friday
who was the dj on in living color,DJ Twist
who made the first to record with the electric guitar,George Warren Barnes
when does the new season of law and order svu come on,"September 27, 2017"
who sing say you won't let go,James Arthur
who is credited with developing the geocentric view,Ptolemy
where was the first high level language operating system created,at IBM
a legislative act passed by congress is an example of,statutory law
who plays the voice of chucky in seed of chucky,Brad Dourif
what is the latest version of microsoft office 2010,14.0.7182.5000
where is the battle of britain flight based,RAF Coningsby in Lincolnshire
who is the president of usa right now,Donald Trump
who sang the song suddenly with olivia newton john,Cliff Richard
where does the movie proof of life take place,The Republic of Tecala
who was involved in the mapp vs ohio case,Dollree Mapp
who was the sixteenth century physician who published,Andreas Vesalius
what breed of dog is the teddy bear dog,Zuchon
how many levels are there on the eiffel tower,three
how many episodes in 1st season of the crown,10
who was the first chief minister of west bengal,Prafulla Chandra Ghosh
who is the originator of the plan-do-check-act model of performance improvement,W. Edwards Deming
which supreme court judge has surved in international court of justice,Dalveer Bhandari
who gave the famous objective co relative theory,T.S. Eliot
who is the first prime minister of france,Michel Debré
who played truman capote in in cold blood,Philip Seymour Hoffman
who eliminated costa rica in world cup 2014,Netherlands
what is the name of the weapon the grim reaper carries,scythe
who won the first season of america's got talent,Bianca Ryan
in the early 1800s california society was dominated by which group,Spanish
gestational sac and yolk sac but no baby at 7 weeks,an anembryonic gestation
when is the last time the us lost the olympics,2018 Pyeongchang
why dry ether is used in woods reaction,to form a higher alkane
where does the phrase train of thought come from,Thomas Hobbes in his Leviathan
who were the first kings to issue coins bearing their names,the Indo-Greek kings
when did red bull come to the united states,1997
star wars the clone wars season 3 episode 1,Clone Cadets
is the united states a country or nation,country
who has the most podium finishes in australia,Michael Schumacher
when did john steinbeck write of mice and me,1937
who plays faith on when calls the heart,Andrea Brooks
how many seasons of prison break are on netflix,five
when does the turn of the screw take place,1898
who is the longest serving member of the house in history,John Dingell
when did first fast and furious come out,2001
what kind of fish live in the salton sea,tilapia
who wrote put your hand in the hand of the man who stilled the water,Gene MacLellan
where is the white castle that harold and kumar go to,in Cherry Hill
who headed the 7th central pay commission of india,Justice A.K Mathur
where is season 3 of the detour filmed,Alaska
who plays the voice of sulley in monsters inc,John Goodman
largest state in the us by land mass,Alaska
who used to present i'm a celebrity now,Ant & Dec
what is the longest panic at the disco song title,Bohemian Rhapsody
who played mark on the show the rifleman,John Ernest Crawford
where does the last name orozco originate from,Spanish/Basque origin
when did marley die in a christmas carol,"December 24, 1836"
where does a girl wear an engagement ring,left hand ring finger
when did i ain't mad at cha come out,"September 15, 1996"
what happened to the west wing of the white house during a christmas party in 1929,electrical fire
who played tom hagon in the godfather series,Robert Duvall
who sings the theme tune to mum on bbc2,Lulu and the Lampshades
the general term for software that is designed to damage disable or steal data is,Malware
what kind of plate boundary is nepal on,orogenic belt
the basic steps of rational decision making include defining goals and,Implementation of plans/policies
who wrote if she knew what she wants,Jules Shear
who ruled the ottoman empire in the 1500s,Selim I
song have i told you lately i love you,Have I Told You Lately
eukaryotes have how many origins of dna replication,"up to 100,000"
who performed the halftime show at super bowl 51,Lady Gaga
who was elected president of the united states in 1928,Herbert Hoover
who wrote the theme song to law and order,Mike Post
who plays lois's dad on family guy,MacFarlane
who plays david in alvin and the chipmunks,Jason Lee
where is the tennessee titans football stadium located,"Nashville, Tennessee"
who is directly elected according to the constitution,senators
where is the suez canal located on a map,Egypt
when did the romanticism period start and end,1780–1830
three act puccini opera first performed in 1900,Tosca
which is the largest great lake in north america,Lake Superior
who wrote the song what child is this,William Chatterton Dix
who is credited with creating the gothic art movement,Abbot Suger
when did they stop using aluminum wiring in ontario,mid-1970s
when does the next apollo book come out,"May 1, 2018"
who created the borders of africa's countries,European imperial powers
where did the british empire control an entire continent,Australia
who won best boy band i heart radio music awards,BTS
when did it become law to stand for the national anthem,"June 22, 1942"
who wrote the song the glory of love,Billy Hill
who spoke the words ich bin ein berliner,U.S. President John F. Kennedy
who sang the american national anthem at the super bowl,Pink
capital of georgia the former soviet republic 7 letters,Tbilisi
who owns the four seasons hotel in las vegas,MGM Resorts International
form from material that has accumulated on the earths surface,Sedimentary rock
the sport psychology sub-field of performance enhancement deals primarily with,Arousal regulation
when do luke and lorelai get back together,Say Goodbye to Daisy Miller
who is mowgli's main enemy in the jungle book,Shere Khan
who drives the number 95 car in nascar,Michael Christopher McDowell
who sings the wire season 5 theme song,Steve Earle
who plays dorian tyrell when he puts on the mask,Peter Greene
who wrote the song to make you feel my love,Bob Dylan
who plays harry's mom in harry potter,Geraldine Margaret Agnew-Somerville
who won the men's ice skating 2018,Yuzuru Hanyu
when did they stop putting lead in paint,1992
who has won the cma entertainer of the year the most,Garth Brooks
who won season 2 of great british baking show,Joanne Wheatley
who played cory's older brother on boy meets world,Will Friedle
who has the most receiving yards in the nfl history,Jerry Rice
where are red blood cells made in adults,in the bone marrow
who is playing halftime show super bowl 2018,Justin Timberlake
when was the last time unc did not make the ncaa tournament,2003
where does the name de la rosa come from,Spanish
what does sip stand for in the ngn / ims context,Session Initiation Protocol
who makes the important government decisions in an autocracy,one person
who played the princess in kingsman secret service,Hanna Alström
who was the editor of the journal jugantor published in the time of swadeshi movement,Bhupendranath Dutt
who sang the theme song for the man with the golden gun,Lulu
where are the hormones of the anterior pituitary created,The pars distalis
the very last episode of that's so raven,Where There's Smoke
how many stores does lowes have in canada,62
who does brant daugherty play in pretty little liars,Noel Kahn
when did the new day win the tag team titles,2016
who is young george bailey in it's a wonderful life,Robert James Anderson
when will the flash season 4 be released,"October 10, 2017"
new movie of ajay devgan and sonakshi sinha,Action Jackson
tallest building in the world of all time,Burj Khalifa
who played mrs. trumbull on i love lucy,Mary Elizabeth Patterson
who was the successful commanding general of the northern forces in the civil war,George B. McClellan
the xix of the social security act of 1965 established,Medicaid
how many times have real madrid won the european cup.in paris,twelve
what was the purpose of the mall of america,shopping
what is small business tax rate in canada,10.5%
who is the present president of assam sahitya sabha,Dhrubajyoti Bora
love is not love that alters when it alteration finds meaning,Sonnet 116
most runs ever scored in a mlb inning,18
where is south pole located on a map,on the continent of Antarctica
who is considered to be the greatest english composer of the baroque period,Henry Purcell
